product_id,title,skus,publication_name,publication_id,published_on_publication,status
gid://shopify/Product/15724631785856,ARANTHIAN SUCCESSION - VAULTS OF TEMENOS,60040599039,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724631949696,NECROMUNDA: CORE GANG TACTICS CARDS ENG,60050599022,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632080768,NECROMUNDA: RUINS OF JARDLAN,60040599041,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632244608,NECROMUNDA: APOCRYPHA NECROMUNDA,60040599044,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632342912,NECROMUNDA: THE BOOK OF DESOLATION,60040599043,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632441216,NECROMUNDA: HIVE SECUNDUS,60010599005,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632637824,NECROMUNDA: TRAZIOR PATTERN SENTRY GUNS,99120599059,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632768896,NECROMUNDA: HIVE DATA STACK CLUSTER,99120599069,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724632965504,NECROMUNDA: RUINED ZONE MORTALIS,99120599081,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633096576,NECROMUNDA: OZOSTIUM ARANTHUS,99120599093,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633227648,NECROMUNDA: UNDERHIVE HANGERS-ON,99120599084,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633391488,LORD OF THE RINGS:FELLOWSHIP OF THE RING,99121499033,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633522560,M-E SBG: GREAT EAGLES,99121499062,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633653632,GANDALF THE WHITE & PEREGRIN TOOK,99121499037,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633817472,THORIN OAKENSHIELD & COMPANY,99121499039,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724633981312,THE THREE HUNTERS,99121499041,Online Store,gid://shopify/Publication/308211384704,false,published
